"","orchid","layer","Present"
"1","Platanthera_huronensis",724,1
"2","Platanthera_huronensis",916,1
"3","Platanthera_huronensis",804,1
"4","Platanthera_huronensis",859,1
"5","Platanthera_huronensis",857,1
"6","Platanthera_huronensis",324,0
"7","Platanthera_huronensis",800,1
"8","Platanthera_huronensis",1053,1
"9","Platanthera_huronensis",801,1
"10","Platanthera_huronensis",1025,1
"11","Platanthera_huronensis",727,1
"12","Platanthera_huronensis",643,1
"13","Platanthera_huronensis",734,1
"14","Platanthera_huronensis",994,1
"15","Platanthera_huronensis",532,1
"16","Platanthera_huronensis",737,1
"17","Platanthera_huronensis",799,1
"18","Platanthera_huronensis",992,1
"19","Platanthera_huronensis",793,1
"20","Platanthera_huronensis",1024,1
"21","Platanthera_huronensis",636,1
"22","Platanthera_huronensis",845,1
"23","Platanthera_huronensis",802,1
"24","Platanthera_huronensis",634,1
"25","Platanthera_huronensis",218,1
"26","Platanthera_huronensis",897,1
"27","Platanthera_huronensis",736,1
"28","Platanthera_huronensis",735,1
"29","Platanthera_huronensis",862,1
"30","Platanthera_huronensis",861,1
"31","Platanthera_huronensis",915,1
"32","Platanthera_huronensis",854,1
"33","Platanthera_huronensis",803,1
"34","Platanthera_huronensis",725,1
"35","Platanthera_huronensis",895,1
"36","Platanthera_huronensis",536,1
"37","Platanthera_huronensis",846,1
"38","Platanthera_huronensis",744,1
"39","Platanthera_huronensis",739,0
"40","Platanthera_huronensis",896,1
"41","Platanthera_huronensis",912,1
"42","Platanthera_huronensis",307,1
"43","Platanthera_huronensis",738,1
"44","Platanthera_huronensis",741,1
"45","Platanthera_huronensis",949,1
"46","Platanthera_huronensis",995,1
"47","Platanthera_huronensis",537,1
"48","Platanthera_huronensis",752,0
"49","Platanthera_huronensis",851,0
"50","Platanthera_huronensis",991,1
"51","Platanthera_huronensis",869,1
"52","Platanthera_huronensis",740,1
"53","Platanthera_huronensis",844,1
"54","Platanthera_huronensis",533,0
"55","Platanthera_huronensis",633,1
"56","Platanthera_huronensis",318,1
"57","Platanthera_huronensis",534,1
"58","Platanthera_huronensis",221,1
"59","Platanthera_huronensis",317,1
"60","Platanthera_huronensis",535,1
"61","Platanthera_huronensis",426,1
"62","Platanthera_huronensis",646,1
"63","Platanthera_huronensis",423,1
"64","Platanthera_huronensis",645,1
"65","Platanthera_huronensis",210,1
"66","Platanthera_huronensis",637,1
"67","Platanthera_huronensis",792,1
"68","Platanthera_huronensis",914,1
"69","Platanthera_huronensis",898,1
"70","Platanthera_huronensis",858,1
"71","Platanthera_huronensis",863,1
"72","Platanthera_huronensis",811,1
"73","Platanthera_huronensis",427,0
"74","Platanthera_huronensis",807,1
"75","Platanthera_huronensis",313,1
"76","Platanthera_huronensis",216,1
"77","Platanthera_huronensis",217,1
"78","Platanthera_huronensis",864,1
"79","Platanthera_huronensis",742,1
"80","Platanthera_huronensis",753,1
"81","Platanthera_huronensis",635,1
"82","Platanthera_huronensis",746,1
"83","Platanthera_huronensis",843,1
"84","Platanthera_huronensis",540,1
"85","Platanthera_huronensis",530,1
"86","Platanthera_huronensis",952,1
"87","Platanthera_huronensis",723,1
"88","Platanthera_huronensis",993,1
"89","Platanthera_huronensis",853,1
"90","Platanthera_huronensis",852,1
"91","Platanthera_huronensis",839,1
"92","Platanthera_huronensis",812,1
"93","Platanthera_huronensis",429,1
"94","Platanthera_huronensis",816,1
"95","Platanthera_huronensis",653,1
"96","Platanthera_huronensis",855,1
"97","Platanthera_huronensis",424,1
"98","Platanthera_huronensis",420,1
"99","Platanthera_huronensis",745,0
"100","Platanthera_huronensis",860,1
"101","Platanthera_huronensis",665,0
"102","Platanthera_huronensis",549,0
"103","Platanthera_huronensis",1022,1
"104","Platanthera_huronensis",1052,1
"105","Platanthera_huronensis",123,0
"106","Platanthera_huronensis",908,1
"107","Platanthera_huronensis",661,0
"108","Platanthera_huronensis",969,1
"109","Platanthera_huronensis",220,1
"110","Platanthera_huronensis",856,1
"111","Platanthera_huronensis",308,1
"112","Platanthera_huronensis",733,1
"113","Platanthera_huronensis",222,0
"114","Platanthera_huronensis",450,0
"115","Platanthera_huronensis",225,0
"116","Platanthera_huronensis",312,1
"117","Platanthera_huronensis",421,1
"118","Platanthera_huronensis",441,0
"119","Platanthera_huronensis",410,0
"120","Platanthera_huronensis",1108,1
"121","Platanthera_huronensis",721,1
"122","Platanthera_huronensis",1083,1
"123","Platanthera_huronensis",415,0
"124","Platanthera_huronensis",219,1
"125","Platanthera_huronensis",213,1
"126","Platanthera_huronensis",329,1
"127","Platanthera_huronensis",662,0
"128","Platanthera_huronensis",412,1
"129","Platanthera_huronensis",214,1
"130","Platanthera_huronensis",659,1
"131","Platanthera_huronensis",842,1
"132","Platanthera_huronensis",1026,1
"133","Platanthera_huronensis",223,1
"134","Platanthera_huronensis",747,1
"135","Platanthera_huronensis",867,1
"136","Platanthera_huronensis",553,0
"137","Platanthera_huronensis",328,1
"138","Platanthera_huronensis",870,1
"139","Platanthera_huronensis",434,0
"140","Platanthera_hyperborea",856,0
"141","Platanthera_hyperborea",969,0
"142","Platanthera_huronensis",654,0
"143","Platanthera_huronensis",655,0
"144","Platanthera_huronensis",748,1
"145","Platanthera_hyperborea",813,0
"146","Platanthera_huronensis",644,1
"147","Platanthera_huronensis",31,0
"148","Platanthera_huronensis",413,0
"149","Platanthera_huronensis",657,1
"150","Platanthera_huronensis",722,1
"151","Platanthera_huronensis",212,1
"152","Platanthera_huronensis",543,1
"153","Platanthera_huronensis",963,1
"154","Platanthera_huronensis",325,0
"155","Platanthera_huronensis",749,1
"156","Platanthera_huronensis",437,0
"157","Platanthera_huronensis",315,1
"158","Platanthera_huronensis",848,1
"159","Platanthera_huronensis",900,1
"160","Platanthera_huronensis",319,1
"161","Platanthera_huronensis",430,0
"162","Platanthera_huronensis",228,1
"163","Platanthera_huronensis",433,0
"164","Platanthera_hyperborea",737,0
"165","Platanthera_huronensis",910,1
"166","Platanthera_huronensis",750,0
"167","Platanthera_huronensis",814,1
"168","Platanthera_huronensis",41,0
"169","Platanthera_huronensis",442,0
"170","Platanthera_hyperborea",857,1
"171","Platanthera_hyperborea",738,0
"172","Platanthera_hyperborea",747,0
"173","Platanthera_hyperborea",865,0
"174","Platanthera_hyperborea",911,0
"175","Platanthera_huronensis",436,0
"176","Platanthera_huronensis",321,0
"177","Platanthera_huronensis",229,1
"178","Platanthera_hyperborea",749,0
"179","Platanthera_huronensis",438,0
"180","Platanthera_huronensis",866,1
"181","Platanthera_huronensis",551,0
"182","Platanthera_huronensis",732,1
"183","Platanthera_huronensis",841,1
"184","Platanthera_huronensis",326,0
"185","Platanthera_huronensis",911,1
"186","Platanthera_huronensis",751,0
"187","Platanthera_huronensis",964,1
"188","Platanthera_dilatata",913,0
"189","Platanthera_hyperborea",864,0
"190","Platanthera_huronensis",909,1
"191","Platanthera_hyperborea",812,0
"192","Platanthera_hyperborea",653,0
"193","Platanthera_huronensis",794,1
"194","Platanthera_huronensis",899,1
"195","Platanthera_hyperborea",908,0
"196","Spiranthes_diluvialis",995,1
"197","Spiranthes_diluvialis",844,1
"198","Spiranthes_diluvialis",991,1
"199","Spiranthes_diluvialis",789,1
"200","Spiranthes_diluvialis",722,1
"201","Spiranthes_diluvialis",1021,1
"202","Spiranthes_diluvialis",900,1
"203","Spiranthes_diluvialis",992,1
"204","Spiranthes_diluvialis",994,1
"205","Spiranthes_diluvialis",949,1
"206","Calypso_bulbosa",1082,1
"207","Calypso_bulbosa",720,1
"208","Calypso_bulbosa",1017,1
"210","Calypso_bulbosa",890,1
"211","Calypso_bulbosa",839,1
"212","Calypso_bulbosa",891,1
"213","Calypso_bulbosa",721,1
"214","Calypso_bulbosa",944,1
"215","Calypso_bulbosa",985,1
"216","Calypso_bulbosa",943,1
"217","Calypso_bulbosa",986,1
"218","Calypso_bulbosa",788,1
"219","Calypso_bulbosa",845,1
"220","Calypso_bulbosa",1045,1
"221","Calypso_bulbosa",838,1
"222","Calypso_bulbosa",1016,0
"223","Calypso_bulbosa",787,1
"224","Calypso_bulbosa",633,1
"225","Calypso_bulbosa",635,1
"226","Calypso_bulbosa",724,1
"227","Calypso_bulbosa",791,1
"228","Calypso_bulbosa",723,1
"229","Calypso_bulbosa",719,1
"230","Calypso_bulbosa",790,1
"231","Calypso_bulbosa",789,1
"232","Calypso_bulbosa",792,1
"233","Calypso_bulbosa",634,1
"234","Calypso_bulbosa",725,1
"235","Calypso_bulbosa",841,1
"236","Calypso_bulbosa",722,1
"237","Calypso_bulbosa",636,1
"238","Calypso_bulbosa",421,1
"239","Calypso_bulbosa",534,1
"240","Calypso_bulbosa",532,1
"241","Calypso_bulbosa",857,1
"242","Calypso_bulbosa",858,1
"243","Calypso_bulbosa",842,1
"244","Calypso_bulbosa",637,1
"245","Calypso_bulbosa",800,1
"246","Calypso_bulbosa",527,1
"247","Calypso_bulbosa",420,1
"248","Calypso_bulbosa",115,1
"249","Calypso_bulbosa",897,1
"250","Calypso_bulbosa",317,1
"251","Calypso_bulbosa",425,1
"252","Calypso_bulbosa",1052,1
"253","Calypso_bulbosa",114,1
"254","Calypso_bulbosa",119,1
"255","Calypso_bulbosa",424,1
"256","Calypso_bulbosa",221,1
"257","Calypso_bulbosa",995,1
"258","Calypso_bulbosa",994,1
"259","Calypso_bulbosa",733,1
"260","Calypso_bulbosa",218,1
"261","Calypso_bulbosa",812,1
"262","Calypso_bulbosa",1026,1
"263","Calypso_bulbosa",793,1
"264","Calypso_bulbosa",325,1
"265","Calypso_bulbosa",648,1
"266","Calypso_bulbosa",530,1
"267","Calypso_bulbosa",423,1
"268","Calypso_bulbosa",1083,1
"269","Calypso_bulbosa",799,1
"270","Calypso_bulbosa",846,1
"271","Calypso_bulbosa",118,1
"272","Calypso_bulbosa",219,1
"273","Calypso_bulbosa",1024,1
"274","Calypso_bulbosa",422,0
"275","Calypso_bulbosa",1084,1
"276","Calypso_bulbosa",1053,1
"277","Calypso_bulbosa",1025,1
"278","Calypso_bulbosa",952,1
"279","Calypso_bulbosa",312,1
"280","Calypso_bulbosa",541,1
"281","Calypso_bulbosa",120,1
"282","Calypso_bulbosa",794,1
"283","Calypso_bulbosa",795,1
"284","Calypso_bulbosa",217,1
"285","Calypso_bulbosa",316,1
"286","Calypso_bulbosa",549,1
"287","Calypso_bulbosa",130,1
"288","Calypso_bulbosa",953,1
"289","Calypso_bulbosa",324,0
"290","Calypso_bulbosa",433,0
"291","Calypso_bulbosa",535,1
"292","Calypso_bulbosa",727,1
"293","Calypso_bulbosa",847,1
"294","Calypso_bulbosa",533,1
"295","Calypso_bulbosa",315,1
"296","Calypso_bulbosa",531,1
"297","Calypso_bulbosa",428,0
"298","Calypso_bulbosa",210,1
"299","Calypso_bulbosa",801,1
"300","Calypso_bulbosa",844,1
"301","Calypso_bulbosa",427,0
"302","Calypso_bulbosa",1107,1
"303","Calypso_bulbosa",540,1
"304","Calypso_bulbosa",212,1
"305","Calypso_bulbosa",843,1
"306","Calypso_bulbosa",1081,1
"307","Calypso_bulbosa",951,1
"308","Calypso_bulbosa",840,1
"309","Calypso_bulbosa",899,1
