pollinator,orchid,value
Bombus_appositus,Platanthera_huronensis,1
Bombus_appositus,Spiranthes_diluvialis,1
Bombus_bifarius,Calypso_bulbosa,1
Bombus_bifarius,Spiranthes_diluvialis,1
Bombus_bifarius,Spiranthes_romanzoffiana,1
Bombus_bohemicus,Cypripedium_acaule,1
Bombus_borealis,Arethusa_bulbosa,1
Bombus_borealis,Cypripedium_acaule,1
Bombus_borealis,Pogonia_ophioglossoides,1
Bombus_borealis,Spiranthes_romanzoffiana,1
Bombus_caliginosus,Calypso_bulbosa,1
Bombus_centralis,Calypso_bulbosa,1
Bombus_diligens,Dichromanthus_michuacanus,1
Bombus_fervidus,Calopogon_tuberosus,1
Bombus_fervidus,Calypso_bulbosa,1
Bombus_fervidus,Cleistesiopsis_bifaria,1
Bombus_fervidus,Cleistesiopsis_divaricata,1
Bombus_fervidus,Galearis_spectabilis,1
Bombus_fervidus,Platanthera_blephariglottis,1
Bombus_fervidus,Pogonia_ophioglossoides,1
Bombus_fervidus,Spiranthes_cernua,1
Bombus_fervidus,Spiranthes_diluvialis,1
Bombus_fervidus,Spiranthes_magnicamporum,1
Bombus_fervidus,Spiranthes_odorata,1
Bombus_fervidus,Spiranthes_romanzoffiana,1
Bombus_flavidus,Calypso_bulbosa,1
Bombus_flavidus,Cypripedium_acaule,1
Bombus_flavifrons,Calypso_bulbosa,1
Bombus_flavifrons,Platanthera_huronensis,1
Bombus_flavifrons,Platanthera_stricta,1
Bombus_frigidus,Calypso_bulbosa,1
Bombus_griseocollis,Calopogon_barbatus,1
Bombus_griseocollis,Cleistesiopsis_bifaria,1
Bombus_griseocollis,Cleistesiopsis_divaricata,1
Bombus_griseocollis,Galearis_spectabilis,1
Bombus_griseocollis,Spiranthes_diluvialis,1
Bombus_impatiens,Cleistesiopsis_bifaria,1
Bombus_impatiens,Cleistesiopsis_divaricata,1
Bombus_impatiens,Cypripedium_acaule,1
Bombus_impatiens,Galearis_spectabilis,1
Bombus_impatiens,Platanthera_integrilabia,1
Bombus_impatiens,Spiranthes_cernua,1
Bombus_impatiens,Spiranthes_ochroleuca,1
Bombus_impatiens,Spiranthes_odorata,1
Bombus_impatiens,Spiranthes_vernalis,1
Bombus_insularis,Calypso_bulbosa,1
Bombus_insularis,Platanthera_huronensis,1
Bombus_lucorum,Calypso_bulbosa,1
Bombus_melanopygus,Calypso_bulbosa,1
Bombus_melanopygus,Platanthera_stricta,1
Bombus_mixtus,Calypso_bulbosa,1
Bombus_mixtus,Goodyera_oblongifolia,1
Bombus_morrisoni,Spiranthes_diluvialis,1
Bombus_nevadensis,Calopogon_tuberosus,1
Bombus_nevadensis,Cypripedium_acaule,1
Bombus_nevadensis,Galearis_spectabilis,1
Bombus_nevadensis,Spiranthes_magnicamporum,1
Bombus_nevadensis,Spiranthes_odorata,1
Bombus_occidentalis,Calypso_bulbosa,1
Bombus_occidentalis,Goodyera_oblongifolia,1
Bombus_occidentalis,Platanthera_huronensis,1
Bombus_occidentalis,Spiranthes_diluvialis,1
Bombus_pensylvanicus,Cleistesiopsis_bifaria,1
Bombus_pensylvanicus,Cleistesiopsis_divaricata,1
Bombus_pensylvanicus,Cypripedium_acaule,1
Bombus_pensylvanicus,Galearis_spectabilis,1
Bombus_pensylvanicus,Platanthera_cristata,1
Bombus_pensylvanicus,Platanthera_integra,1
Bombus_pensylvanicus,Spiranthes_lacera,1
Bombus_pensylvanicus,Spiranthes_ochroleuca,1
Bombus_pensylvanicus,Spiranthes_odorata,1
Bombus_pensylvanicus,Spiranthes_vernalis,1
Bombus_perplexus,Goodyera_oblongifolia,1
Bombus_perplexus,Spiranthes_lacera,1
Bombus_perplexus,Spiranthes_romanzoffiana,1
Bombus_rufocinctus,Calypso_bulbosa,1
Bombus_rufocinctus,Spiranthes_diluvialis,1
Bombus_sandersoni,Arethusa_bulbosa,1
Bombus_sandersoni,Calopogon_tuberosus,1
Bombus_sandersoni,Pogonia_ophioglossoides,1
Bombus_suckleyi,Platanthera_huronensis,1
Bombus_ternarius,Arethusa_bulbosa,1
Bombus_ternarius,Calopogon_tuberosus,1
Bombus_ternarius,Calypso_bulbosa,1
Bombus_ternarius,Platanthera_blephariglottis,1
Bombus_ternarius,Pogonia_ophioglossoides,1
Bombus_terricola,Arethusa_bulbosa,1
Bombus_terricola,Calopogon_tuberosus,1
Bombus_terricola,Pogonia_ophioglossoides,1
Bombus_terricola,Spiranthes_casei,1
Bombus_terricola,Spiranthes_cernua,1
Bombus_terricola,Spiranthes_lacera,1
Bombus_vagans,Calopogon_tuberosus,1
Bombus_vagans,Calypso_bulbosa,1
Bombus_vagans,Cleistesiopsis_bifaria,1
Bombus_vagans,Cleistesiopsis_divaricata,1
Bombus_vagans,Cypripedium_acaule,1
Bombus_vagans,Galearis_spectabilis,1
Bombus_vagans,Goodyera_oblongifolia,1
Bombus_vagans,Platanthera_blephariglottis,1
Bombus_vagans,Pogonia_ophioglossoides,1
Bombus_vagans,Spiranthes_lacera,1
Bombus_vagans,Spiranthes_ochroleuca,1
Bombus_vagans,Spiranthes_romanzoffiana,1
Bombus_vosnesenskii,Calypso_bulbosa,1
Bombus_vosnesenskii,Goodyera_oblongifolia,1
Anthophora_abrupta,Cypripedium_reginae,1
Anthophora_abrupta,Platanthera_psycodes,1
Anthophora_terminalis,Cypripedium_reginae,1
Anthophora_terminalis,Spiranthes_diluvialis,1
Apis_mellifera,Calopogon_pallidus,1
Apis_mellifera,Cypripedium_reginae,1
Apis_mellifera,Platanthera_blephariglottis,1
Apis_mellifera,Platanthera_integrilabia,1
Apis_mellifera,Spiranthes_diluvialis,1
Apis_mellifera,Spiranthes_cernua,1
Apis_mellifera,Spiranthes_romanzoffiana,1
Centris_errans,Cyrtopodium_punctatum,1
Centris_nitida,Cyrtopodium_punctatum,1
Centris_versicolor,Cyrtopodium_punctatum,1
Ceratina_acantha,Cypripedium_californicum,1
Ceratina_calcarata,Cypripedium_candidum,1
Ceratina_calcarata,Cypripedium_parviflorum,1
Ceratina_calcarata,Cypripedium_reginae,1
Ceratina_dupla,Cypripedium_candidum,1
Ceratina_dupla,Cypripedium_reginae,1
Ceratina_pacifica,Spiranthes_diluvialis,1
Eucera_dubitata,Cypripedium_parviflorum,1
Eucera_rosae,Cypripedium_parviflorum,1
Euglossa_hemichlora,Cyrtopodium_punctatum,1
Euglossa_viridissima,Cyrtopodium_punctatum,1
Nomada_armatella,Cypripedium_parviflorum,1
