"spA","spB","value"
"Platanthera_huronensis","Bombus_appositus",1
"Spiranthes_diluvialis","Bombus_appositus",1
"Calypso_bulbosa","Bombus_bifarius",1
"Spiranthes_diluvialis","Bombus_bifarius",1
"Spiranthes_romanzoffiana","Bombus_bifarius",1
"Cypripedium_acaule","Bombus_bohemicus",1
"Arethusa_bulbosa","Bombus_borealis",1
"Cypripedium_acaule","Bombus_borealis",1
"Pogonia_ophioglossoides","Bombus_borealis",1
"Spiranthes_romanzoffiana","Bombus_borealis",1
"Calypso_bulbosa","Bombus_caliginosus",1
"Calypso_bulbosa","Bombus_centralis",1
"Dichromanthus_michuacanus","Bombus_diligens",1
"Calopogon_tuberosus","Bombus_fervidus",1
"Calypso_bulbosa","Bombus_fervidus",1
"Cleistesiopsis_bifaria","Bombus_fervidus",1
"Cleistesiopsis_divaricata","Bombus_fervidus",1
"Galearis_spectabilis","Bombus_fervidus",1
"Platanthera_blephariglottis","Bombus_fervidus",1
"Pogonia_ophioglossoides","Bombus_fervidus",1
"Spiranthes_cernua","Bombus_fervidus",1
"Spiranthes_diluvialis","Bombus_fervidus",1
"Spiranthes_magnicamporum","Bombus_fervidus",1
"Spiranthes_odorata","Bombus_fervidus",1
"Spiranthes_romanzoffiana","Bombus_fervidus",1
"Calypso_bulbosa","Bombus_flavidus",1
"Cypripedium_acaule","Bombus_flavidus",1
"Calypso_bulbosa","Bombus_flavifrons",1
"Platanthera_huronensis","Bombus_flavifrons",1
"Platanthera_stricta","Bombus_flavifrons",1
"Calypso_bulbosa","Bombus_frigidus",1
"Calopogon_barbatus","Bombus_griseocollis",1
"Cleistesiopsis_bifaria","Bombus_griseocollis",1
"Cleistesiopsis_divaricata","Bombus_griseocollis",1
"Galearis_spectabilis","Bombus_griseocollis",1
"Spiranthes_diluvialis","Bombus_griseocollis",1
"Cleistesiopsis_bifaria","Bombus_impatiens",1
"Cleistesiopsis_divaricata","Bombus_impatiens",1
"Cypripedium_acaule","Bombus_impatiens",1
"Galearis_spectabilis","Bombus_impatiens",1
"Platanthera_integrilabia","Bombus_impatiens",1
"Spiranthes_cernua","Bombus_impatiens",1
"Spiranthes_ochroleuca","Bombus_impatiens",1
"Spiranthes_odorata","Bombus_impatiens",1
"Spiranthes_vernalis","Bombus_impatiens",1
"Calypso_bulbosa","Bombus_insularis",1
"Platanthera_huronensis","Bombus_insularis",1
"Calypso_bulbosa","Bombus_lucorum",1
"Calypso_bulbosa","Bombus_melanopygus",1
"Platanthera_stricta","Bombus_melanopygus",1
"Calypso_bulbosa","Bombus_mixtus",1
"Goodyera_oblongifolia","Bombus_mixtus",1
"Spiranthes_diluvialis","Bombus_morrisoni",1
"Calopogon_tuberosus","Bombus_nevadensis",1
"Cypripedium_acaule","Bombus_nevadensis",1
"Galearis_spectabilis","Bombus_nevadensis",1
"Spiranthes_magnicamporum","Bombus_nevadensis",1
"Spiranthes_odorata","Bombus_nevadensis",1
"Calypso_bulbosa","Bombus_occidentalis",1
"Goodyera_oblongifolia","Bombus_occidentalis",1
"Platanthera_huronensis","Bombus_occidentalis",1
"Spiranthes_diluvialis","Bombus_occidentalis",1
"Cleistesiopsis_bifaria","Bombus_pensylvanicus",1
"Cleistesiopsis_divaricata","Bombus_pensylvanicus",1
"Cypripedium_acaule","Bombus_pensylvanicus",1
"Galearis_spectabilis","Bombus_pensylvanicus",1
"Platanthera_cristata","Bombus_pensylvanicus",1
"Platanthera_integra","Bombus_pensylvanicus",1
"Spiranthes_lacera","Bombus_pensylvanicus",1
"Spiranthes_ochroleuca","Bombus_pensylvanicus",1
"Spiranthes_odorata","Bombus_pensylvanicus",1
"Spiranthes_vernalis","Bombus_pensylvanicus",1
"Goodyera_oblongifolia","Bombus_perplexus",1
"Spiranthes_lacera","Bombus_perplexus",1
"Spiranthes_romanzoffiana","Bombus_perplexus",1
"Calypso_bulbosa","Bombus_rufocinctus",1
"Spiranthes_diluvialis","Bombus_rufocinctus",1
"Arethusa_bulbosa","Bombus_sandersoni",1
"Calopogon_tuberosus","Bombus_sandersoni",1
"Pogonia_ophioglossoides","Bombus_sandersoni",1
"Platanthera_huronensis","Bombus_suckleyi",1
"Arethusa_bulbosa","Bombus_ternarius",1
"Calopogon_tuberosus","Bombus_ternarius",1
