"","Isotria_verticillata","Spiranthes_casei","Spiranthes_lacera"
"539",0,0,1
"540",0,0,1
"541",0,0,1
"643",0,0,1
"644",0,0,1
"645",0,0,1
"646",0,0,1
"733",0,0,1
"734",0,0,1
"736",0,0,1
"737",0,0,1
"738",0,0,1
"749",0,0,1
"753",0,0,1
"754",0,0,1
"800",0,1,1
"801",0,0,1
"802",0,1,1
"803",0,1,1
"804",0,1,1
"805",0,1,0
"806",0,1,1
"809",0,0,1
"810",0,0,1
"811",0,0,1
"812",0,0,1
"814",0,0,1
"815",0,1,1
"816",0,0,1
"853",0,0,1
"854",0,1,1
"855",0,1,1
"856",0,1,1
"857",0,1,1
"858",0,1,1
"859",0,1,1
"860",0,1,1
"861",0,1,1
"862",0,1,1
"863",0,1,1
"864",0,1,1
"865",0,0,1
"866",0,0,1
"867",0,1,1
"868",0,1,1
"869",0,0,1
"870",0,0,1
"906",0,0,1
"907",0,1,1
"908",0,1,1
"909",0,1,1
"910",1,1,1
"912",1,0,1
"913",0,1,1
"914",1,1,1
"915",1,1,1
"916",1,0,1
"917",1,0,1
"919",0,0,1
"920",0,1,1
"958",0,0,1
"959",0,0,1
"960",0,0,1
"961",0,0,1
"962",0,0,1
"963",1,0,0
"964",1,0,1
"965",1,0,1
"966",1,1,1
"967",1,0,1
"968",1,0,1
"969",1,0,1
"970",1,0,1
"998",0,0,1
"999",0,0,1
"1000",0,0,1
"1001",0,0,1
"1002",0,0,1
"1003",1,0,1
"1004",0,0,1
"1005",1,0,1
"1006",1,0,1
"1007",1,0,1
"1008",1,0,1
"1009",1,0,1
"1027",0,0,1
"1028",0,0,1
"1029",0,0,1
"1030",1,0,1
"1031",1,0,1
"1032",1,0,1
"1033",1,0,1
"1034",1,0,1
"1035",1,0,1
"1036",1,0,1
"1037",1,0,1
"1038",1,0,1
"1039",0,0,1
"1056",0,0,1
"1057",0,0,1
"1058",0,0,1
"1059",1,0,1
"1060",0,0,1
"1061",0,0,1
"1062",1,0,1
"1063",1,0,1
"1064",1,0,1
"1065",0,0,1
"1066",1,0,0
"1086",0,0,1
"1087",0,0,1
"1088",1,0,1
"1089",0,0,1
"1090",0,0,1
"1091",1,0,1
"1092",1,0,1
"1093",1,0,1
"1094",1,0,1
"1095",1,0,1
"1096",0,0,1
"1112",0,0,1
"1113",1,0,1
"1114",0,0,1
"1116",0,0,1
"1117",1,0,1
"1118",0,0,1
"1119",0,0,1
"1132",0,0,1
"1133",0,0,1
"1134",1,0,1
"1135",0,0,1
"1136",0,0,1
"1137",1,0,0
"1153",0,0,1
"1154",1,0,1
"1158",0,0,1
"1159",1,0,0
"1160",0,0,1
"1161",0,0,1
"1177",0,0,1
"1196",0,0,1
"1212",0,0,1
