"","Andrena_ceanothi","Andrena_miranda","Andrena_nasonii","Anthidiellum_notatum","Augochlora_pura","Bombus_pensylvanicus","Bombus_perplexus","Bombus_terricola","Bombus_vagans","Calliopsis_andreniformis","Hoplitis_truncata","Lasioglossum_imitatum","Lasioglossum_versans","Megachile_brevis","Megachile_inermis","Nomada_sayi"
"38",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"110",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"114",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"115",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"118",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"129",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"130",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"216",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"225",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"226",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"228",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"229",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"313",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"322",0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"325",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"326",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"412",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"421",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"424",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"425",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"426",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"428",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"432",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"452",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"529",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"531",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"532",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"534",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"535",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"536",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"537",0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0
"539",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"540",0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0
"541",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"543",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"553",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"554",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"561",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"632",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"633",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"634",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"635",0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"636",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"637",0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"640",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"641",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"643",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"644",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"645",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"646",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"652",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"655",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"660",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"666",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"721",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"722",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"723",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"724",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"725",0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"727",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"728",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"729",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"731",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"732",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"733",0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"734",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"735",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"736",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"737",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"738",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"739",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"740",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"741",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"742",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"743",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"744",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"745",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"746",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"747",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"748",0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
"749",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"752",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"753",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"754",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"755",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"788",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"789",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"790",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"791",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"792",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"793",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"794",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"795",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"796",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"797",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"798",0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0
