"spA","spB","value"
"Spiranthes_lacera","Bombus_pensylvanicus",1
"Spiranthes_lacera","Bombus_perplexus",1
"Spiranthes_casei","Bombus_terricola",1
"Spiranthes_lacera","Bombus_terricola",1
"Spiranthes_lacera","Bombus_vagans",1
"Isotria_verticillata","Nomada_sayi",1
"Spiranthes_lacera","Anthidiellum_notatum",1
"Spiranthes_lacera","Megachile_brevis",1
"Spiranthes_lacera","Megachile_inermis",1
"Spiranthes_lacera","Hoplitis_truncata",1
"Isotria_verticillata","Andrena_ceanothi",1
"Isotria_verticillata","Andrena_miranda",1
"Isotria_verticillata","Andrena_nasonii",1
"Spiranthes_lacera","Calliopsis_andreniformis",1
"Isotria_verticillata","Augochlora_pura",1
"Isotria_verticillata","Lasioglossum_cressoni",1
"Spiranthes_lacera","Lasioglossum_imitatum",1
"Spiranthes_casei","Lasioglossum_versans",1
"Spiranthes_casei","self_NA",1
